alpha,beta
3.388229476621879,6.602109242709465
3.266913949421335,4.55949861006572
3.199810977979164,3.461658896390941
3.1763782946495227,3.0624990049580854
3.1607599431602416,2.9133984522254095
3.161328749930898,2.9351416887242823
3.1576383094142253,2.8693038528311052
3.136295544612822,2.577551018913783
3.140094127040991,2.745812066205802
3.141911991242805,2.930693975168512
3.129370715474225,2.7752299190165863
3.123862648788894,2.7297387504172117
3.1104524580085378,2.527105743763397
3.1077188399842695,2.5392745989465992
3.1092211228586644,2.6072503613085516
3.1205442327253263,2.8973370234275615
3.111601192382265,2.8031126480066093
3.1027923921773186,2.670952644455356
3.1098872080277684,2.874245350476989
3.108723775708353,2.968150780903383
3.0981409565872533,2.8236761904743126
3.091557753245566,2.7775287793920094
3.092574543712534,2.8896011916130493
3.073366957089298,2.6407648369073145
3.0725222137744437,2.6852522338579137
3.0832917239803703,2.9696851682159475
3.067306365013348,2.750892563874377
3.052522206776776,2.537366981044481
3.050501222861385,2.575063990788865
3.0550824597230837,2.82962286923628
3.0543164140445964,2.8703061467028133
3.047017971666868,2.7503301613389843
3.0339208986138404,2.57123789249533
3.019162157934248,2.361107420070745
3.023879805843614,2.4758328243429473
3.0365358793017116,2.8062359813898374
3.037771664537474,2.9543976045894627
3.0237119942684205,2.7832979862884755
3.0138323857255083,2.668088984221763
3.024182936198008,2.9941686615484646
3.0094368044288764,2.794204438053235
3.007974042130855,2.9052674080087852
2.990205339214339,2.6794394093908265
2.9746413958850546,2.4806227321108447
2.9713916407751406,2.474781415505768
2.9704806336129117,2.57324327066823
2.9690525768666354,2.6564553895999814
2.9854046323519112,3.0473271199974024
2.980649016846329,3.0092643980062843
2.9701238873301734,2.918315971070394
2.9548485809993417,2.663786524080626
2.9535252881149243,2.7174159113482923
2.938413667297979,2.509797946087314
2.9328507551751106,2.4485653758847574
2.930282728436088,2.4726066791649783
2.9390692942365626,2.688839680864888
2.939323451937494,2.7600613027236323
2.93567779736942,2.7541165554330527
2.9336338780172073,2.804737147859075
2.9248929822470946,2.752178497253374
2.920732198359506,2.76135441137311
2.904432223497426,2.5556546200503507
2.9198982887239833,2.9251338816463743
2.9043666559521446,2.7056781574678825
2.910572396898548,2.8783247375643315
2.9040654887261055,2.865252629679144
2.9017855867563402,2.8836852593749915
2.889078326916719,2.708977084326547
2.872489834817416,2.502437422802771
2.8861662482623918,2.791004826847295
2.882504039328057,2.8489763503025682
2.87235914834403,2.6720258766557157
2.8769516440439244,2.8567967801340965
2.8607808494263107,2.6085882158012508
2.8747681359549717,3.0216124703548566
2.864783047395537,2.905501030796145
2.854117821511376,2.748280732922664
2.845035604066439,2.6592769272478987
2.837269092352211,2.632256976784293
2.835783298788311,2.665519198303333
2.8296905481456642,2.5948996962621935
2.8316431016930483,2.7112616443372493
2.8241209215472565,2.647656973630606
2.824432899853845,2.6895054069002904
2.8104869900885032,2.4715835070053718
2.8141358738335502,2.584007503475193
2.805934366664349,2.5075168250669986
2.80641231198841,2.5526716168427335
2.8164319724939393,2.7264078702331744
2.8045381500492175,2.6167708102792773
2.806692407820182,2.718687815993039
2.8102334732377776,2.924982294533513
2.8019054571317348,2.8500855043834474
2.787836559709872,2.7021479755071183
2.7827364543492785,2.656400810188146
2.779490506223474,2.634667370090715
2.773550170950828,2.5331978577846823
2.7754038794500855,2.6862990725150073
2.7651096509069624,2.5530644353869807
2.7673890307612323,2.643212609359505
2.752065223266489,2.4182957666302562
2.75769605434613,2.596425921166859
2.7606892248819945,2.7548840933771874
2.751240684142587,2.67603906599616
2.7486295552106648,2.7152209385410826
2.749549031301564,2.8202841984069615
2.7485546746180542,2.8901585688449245
2.7547224095056357,3.013489109039931
2.7405566052767965,2.826980103318279
2.7358357363504613,2.891785869537752
2.7277387478948576,2.8330452796474326
2.7169661406730437,2.7596743046463605
2.7081073049476605,2.6284467387833277
2.7238737921155676,2.9403888927987754
2.706841051350176,2.714972715906537
2.716245286080675,2.9430943390534656
2.712744550243566,2.9925826081315328
2.70030641768287,2.84045448284162
2.690548647431491,2.7521004026863807
2.685659869187301,2.716931094125318
2.6676698363707447,2.476211901797505
2.67268512159458,2.613071236502621
2.6615280074015586,2.468479059435893
2.66697489995639,2.639282978726964
2.6628990740925325,2.653304909477996
2.6661675188410516,2.7439790764899814
2.667405863817445,2.865774825303111
2.6612060291838797,2.8105199836243844
2.6540351426679543,2.736519978632737
2.647960057999598,2.7269036888747245
2.6413113420229037,2.721118273116793
2.631075450713633,2.600458231613312
2.6300484072847734,2.5832390349298877
2.628557041854205,2.5548415137524842
2.6361280648980743,2.7066255973373514
2.633763367265589,2.720108052854048
2.640307342319908,2.9228916313597457
2.6287275472897056,2.785211321816247
2.628786797729731,2.819772301191704
2.60871077047501,2.5331823159948135
2.611898049348721,2.6145889483159492
2.6141767044084143,2.742998309889735
2.6192185336746103,2.926845982085828
2.6085984579372323,2.799698002793024
2.618290736183727,3.040414077437609
2.6002599504044888,2.829538694319806
2.5949403455496465,2.781297041324433
2.5829131749204697,2.6317960555459394
2.584425948655264,2.76215568610995
2.599719462106254,3.125360041914237
2.583290561935093,2.9260563068651506
2.5761423155392404,2.873352706904347
2.5765781583741045,2.93631412712619
2.5697718923706967,2.871923076737478
2.564401387052412,2.8416626793532784
2.546497715859649,2.5770481752511687
2.54271335801705,2.5552964907194786
2.5253569863582896,2.3171112065825223
2.5436069082790462,2.8093258820695053
2.529918415206179,2.6372583200496655
2.5223535704542273,2.5468241851926714
2.529966841016768,2.7122476443204184
2.5275733214382283,2.747516682757875
2.5305577314407244,2.8191880931943585
2.5325071271305086,2.9239195016190456
2.513907950346401,2.704044237116967
2.5115177686247216,2.7014251986674878
2.5034608846191193,2.6222430349680677
2.500903283834048,2.6032246766632556
2.4909196598519094,2.4822494560553543
2.494769150846393,2.6106150870554172
2.4860861599330377,2.5248239680352467
2.487000474564123,2.5977310705598358
2.4860743629732602,2.6730593333465755
2.4837541556636045,2.7032244057079184
2.4838439511160564,2.7464338571623235
2.4755084660821516,2.6886518312251715
2.4848319387195565,2.9336017607127185
2.481545116958687,2.953205578729571
2.4659975579682,2.7395187324234644
2.4698248481975997,2.884462630510863
2.468721836496043,2.9903393444051756
2.4612004200728452,2.9142698258521436
2.4574927617394504,2.8995461660783044
2.4524795152552645,2.8780281345631367
2.4531819164691946,3.039669228910866
2.440401007156063,2.900615946763449
2.4261888417721202,2.692312119198187
2.431028617946439,2.8320471999480077
2.4343039052894793,2.9925657270978414
2.4239765529158177,2.884833420457968
2.428318492757316,3.0617995375538065
2.413771494356158,2.9006949945842098
2.4006456690488744,2.7121657840295224
2.4006062591288653,2.822323501537084
2.399407512969965,2.834633975953924
2.388358093725522,2.6953165012110896
2.3844169146393623,2.648503807474843
2.3836735778686275,2.691369297185629
2.3885154111221345,2.8576360452903242
2.373741934986471,2.6397757393154913
2.3794517395887445,2.8078481323871944
2.3626734629198194,2.571897884582464
2.350479898759526,2.401740297466741
2.3498731504715495,2.425734985765826
2.368220655836956,2.8233042828330634
2.3647484338988733,2.788817195777012
2.366403345926241,2.9219421457695813
2.3580952601935325,2.8535064190393915
2.343418963545187,2.679428725390708
2.347174620903006,2.8002586511439573
2.35082108954559,2.9652844919053014
2.340355343625529,2.826568332589063
2.33668477817294,2.8860831063533823
2.319182071931345,2.664261381994221
2.3213220950369005,2.7162934981581612
2.320148155345798,2.8062367292980173
2.3125629612445433,2.7188124941089753
2.3097444995664396,2.688360061058592
2.3060439836973874,2.655987289413415
2.30241331994582,2.685579925011201
2.301554014786201,2.7282091041795877
2.302410398389039,2.7889287703139183
2.303151553519951,2.8571865476775247
2.2905103613790976,2.618943281926574
2.2892071015196205,2.6218605979588823
2.30127582254127,2.911126267674621
2.2860882174580395,2.6790495691376632
2.2845320970340426,2.714757082803999
2.2764125293669992,2.597938560986498
2.2912524915265675,2.926923520636388
2.279277186046252,2.8244303290265496
2.278477130100952,2.940053842229591
2.275233547113305,2.916872072611339
2.2660613845049107,2.846656128709024
2.262378761665478,2.8192303294596233
2.2598794980495405,2.8639665044454943
2.2534111828009453,2.818421401884715
2.23918066487409,2.6412544196264642
2.237395352550924,2.665497600612106
2.2359965698278415,2.689077811041014
2.247974086734873,2.9600141910014734
2.245757728796236,2.981857416707952
2.2394034715767765,2.9357690444872584
2.2268068819933964,2.8038244204164355
2.214111964684352,2.643508202632078
2.2197443816209486,2.7922359190895825
2.2235507256810148,2.9264110534292684
2.203072476536166,2.649606858179187
2.2011599164077214,2.6538271875301827
2.207552555547904,2.8257289742245115
2.2108951267558354,2.976927200211041
2.201871275295254,2.855678952737199
2.191241762853469,2.7454006444768986
2.181067808865621,2.649945010660503
2.172794699202061,2.6104940518751354
2.199888988004099,3.1776429696772635
2.1797405101953538,2.906485414830217
2.1762368065772497,2.8967538779767477
2.180847868512069,3.0232843190298397
2.1780580169833006,3.0386199103386753
2.178382116317188,3.111755176473465
2.161241819202113,2.8883651154831034
2.1511908568026636,2.7525828917910795
2.1461782396599527,2.7355013758533246
2.146721363497064,2.7881485512890642
2.1394879085246643,2.727758541313265
2.1395005084739114,2.7845479509110933
2.1348910270361428,2.7820693489410577
2.126599853833515,2.703194730909056
2.115950013515849,2.5918379277797006
2.1113805301841984,2.5729020542938414
2.115057967170361,2.685205524411832
2.1265841168587754,2.8980780753805333
2.1304929306940354,2.9933277661926505
2.116933410937138,2.884949084228487
2.112810586433233,2.870385997266572
2.1078205958444194,2.8638303006448824
2.1023971413843157,2.8801513227158217
2.113926842737759,3.1834349252679734
2.101193718272001,3.0551259229083656
2.0885716727280794,2.939851001833716
2.0821867786991737,2.8481595196037715
2.074702619553662,2.7950213648478446
2.0822569296748776,3.0092432321485476
2.0786762540028487,3.087878658557048
2.070999573449727,3.004323552271376
2.0709767868466185,3.1022607963746305
2.054873574791203,2.8290556113516403
2.0373216385723554,2.5922834540130055
2.0491312277431453,2.8827587312677605
2.042748479142584,2.813983342017767
2.0337812464995,2.696302584620082
2.0353310981679065,2.8122207984023584
2.0295815912210977,2.7672379335811397
2.023566718905757,2.6982678736625303
2.019335564868615,2.6544442625646285
2.0248180101245032,2.8694100085113883
2.018862701121457,2.858918319326237
2.016792148766983,2.872020175710843
2.0124019112808105,2.8283450423491505
2.020338376018378,3.092795534255654
2.0050434438448144,2.886019125843802
1.9884922975261936,2.6437267956068706
1.9878543164178775,2.7077655154768947
1.9772187009418656,2.6475040854010152
1.9857984711127417,2.865735777475347
1.9759334499597554,2.756878314781011
1.9734782098246628,2.7950598485179445
1.9730350156198924,2.9138922239729728
1.9732277177495985,3.0038559928123307
1.9820280505530894,3.2126295556085886
1.9659774734226874,3.0502662641089424
1.9413566466657235,2.6742258245738806
1.9507369935317938,2.8225563289337976
1.9529795066553974,2.9324167996516777
1.9352851789528411,2.7022261668607706
1.9242733801308276,2.5170084292354686
1.926630563635031,2.635316851889114
1.941801529543531,2.9964173601089334
1.9232763013411487,2.7389244007871367
1.9170618569113103,2.738185457171947
1.9072039790215458,2.5900529993838797
1.9293215522090656,3.059728662338643
1.9339191258270185,3.1267399595886505
1.9203252610319421,3.0025687266580507
1.920275163620995,3.050603033687356
1.8989972446286558,2.7499491449175646
1.8972944431523626,2.7998061162704477
1.8836307919552755,2.6249276570202666
1.8748668789813485,2.4864481647212253
1.8743277303847,2.5248173161117125
1.8782036096101398,2.6439596758124004
1.8854039574812584,2.8718161810775658
1.876430595201873,2.759293966255399
1.867860468204793,2.674614938266504
1.8723307229784218,2.834283889484127
1.8700125512347467,2.904055511701304
1.8696106262280678,2.904279647316064
1.8669769668786946,2.9354207737298967
1.8570918377987156,2.836768711221809
1.844269439719631,2.6129207840506723
1.8361408886907604,2.575977453283385
1.8387153312266502,2.654233503819281
1.8492215071184994,2.8987896230542747
1.8472380065434713,3.0046747095311828
1.8367632843661066,2.853038349321046
1.821855237111408,2.5980569114007124
1.8185982197002126,2.5872227368329774
1.8057135070505734,2.4418599514436106
1.814061396359634,2.5818463336851925
1.8118437680143844,2.5895473625956242
1.8218732069630825,2.8269558302935303
1.8227013470882072,2.880654375905375
1.8247314767108458,2.96832668005028
1.8132284783258026,2.839304944007859
1.8108536549869063,2.860382542997792
1.8176124453903768,3.040857054755179
1.8056623176986373,2.8941115766977275
1.7921247273496916,2.6792124374888195
1.793890581450036,2.7638000667716836
1.7982480733591037,2.903176070475607
1.792975736974785,2.833471765649155
1.7982762827328334,2.9413559811140333
1.7948771827574845,2.9433949375468327
1.7812190676094317,2.8300434456727035
1.7812414837819772,2.933632742313528
1.772900969637691,2.861482132436048
1.7644050060070366,2.8018488568143276
1.765218188112473,2.8681512802480897
1.7544160925226917,2.7668495480255064
1.7454591931330325,2.656879933847555
1.7411981168636448,2.6282513549927033
1.7514496753578592,2.817457152826471
1.743458453369732,2.761343633187662
1.7516218470404092,3.000587084309954
1.7413506238893361,2.8802699127161135
1.7453251289118796,3.0152271955174363
1.7283928899840502,2.759285927662263
1.722777883410383,2.7229591214099953
1.709226312005455,2.537246385836846
1.7241654073148136,2.8562727204485157
1.7216373814725867,2.9009533435766413
1.7170393147228715,2.883833079828142
1.7119766192689683,2.866209038745601
1.710043454193707,2.8462598374129744
1.6945046174474576,2.6132162557831986
1.7000009481873648,2.812148972570161
1.7011292351519822,2.8701237917031657
1.692170360607548,2.7566037645921586
1.6973756428313476,2.9364628318156636
1.6972481966355375,3.0192824819491992
1.6916213020608666,3.0030171616411505
1.6780157559938178,2.828450352251256
1.676730896088952,2.850096893980999
1.6752556926951108,2.930271035241414
1.6691509661115125,2.822067680704638
1.6672925322370933,2.8522699453723255
1.662902640204847,2.7781701361978395
1.6651335767650324,2.8871459473465455
1.6563547526184565,2.7891893063364526
1.6558535259534977,2.8882088504749883
1.6458970834737723,2.7060442365881756
1.6508209400908853,2.854631998843758
1.6486027842491486,2.9232090213023167
1.6430903249565227,2.906495929069185
1.6288871942660734,2.7410882697414976
1.621943676257344,2.637968978447202
1.6286942738391308,2.848429286147974
1.624808666706613,2.820953756095497
1.6347847299687925,3.089906511806724
1.6323544371891123,3.116065069734514
1.619508430763318,2.9511782132408815
1.597475019248118,2.597730559864341
1.590576556573895,2.5651713742719253
1.5999379628328652,2.747197802147073
1.58338955668903,2.522738769107512
1.5866305922738433,2.602481402251094
1.5763614908255805,2.4983875052581648
1.5941992786085672,2.823572244727832
1.595973613333478,2.9524790671539285
1.581463234208799,2.7644828825283994
1.5728880194629493,2.6591358090008415
1.575414780156431,2.788526880893493
1.5687401099960512,2.6925931018888742
1.572170669479768,2.8130894133245463
1.580128073548075,2.9969113929359144
1.5626997604205728,2.6997783884332294
1.553755953843843,2.5677928928318
1.5567845218553324,2.706955210970195
1.559871647257833,2.8299003205941027
1.543541106965717,2.6333698594240444
1.547065305693508,2.752403197670481
1.5549537687595774,2.9580261640492242
1.5484854062756026,2.8906914909718338
1.53744298993381,2.760035187352835
1.544064312277062,2.963007019816293
1.5283265761210933,2.6870746201480715
1.5374193035488317,2.9654568128726657
1.5182514426571632,2.684529637882565
1.5342907223651459,3.0437215105522863
1.5252472392821137,2.9649437096840536
1.524454314579202,2.976141723382879
1.5189188708017916,2.923624387115464
1.5055548845959108,2.708885595844905
1.50274706550883,2.708512583403077
1.5026840657298692,2.7285918313873303
1.5129423151204744,3.004231084474909
1.4992699291902898,2.7613563585019185
1.4984079858598478,2.8127076199785153
